date,cash,value,000686.SZ_volume_1_x,601555.SH_volume_2_x,002280.SZ_volume_1,300113.SZ_volume_2,600061.SH_volume_1_x,601377.SH_volume_2_x,600369.SH_volume_1,601377.SH_volume_2_y,000937.SZ_volume_1_x,601666.SH_volume_2,603881.SH_volume_1,600633.SH_volume_2_x,600728.SH_volume_1,600633.SH_volume_2_y,600061.SH_volume_1_y,600109.SH_volume_2,000937.SZ_volume_1_y,000983.SZ_volume_2,000783.SZ_volume_1,601555.SH_volume_2_y,600061.SH_volume_1,600369.SH_volume_2,000002.SZ_volume_1,600048.SH_volume_2,002736.SZ_volume_1,600837.SH_volume_2,300295.SZ_volume_1,600633.SH_volume_2_x,002016.SZ_volume_1,002314.SZ_volume_2,002584.SZ_volume_1,000990.SZ_volume_2,000710.SZ_volume_1,600420.SH_volume_2,000686.SZ_volume_1_y,002736.SZ_volume_2,300379.SZ_volume_1,600633.SH_volume_2_y,002467.SZ_volume_1,002058.SZ_volume_2,rev
2019-07-01,11426220.060879052,212386741.70244515,80000.0,-866800.0,190000.0,-64800.0,0.0,0.0,420000.0,-639000.0,330000.0,-971300.0,300000.0,-137700.0,0.0,0.0,0,0,330000.0,-249200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,-144100.0,180000.0,-1490100.0,710000.0,-232500.0,0.0,0.0,80000.0,-703500.0,0,0,0.0,0.0,105.19337085122257
2019-07-02,11426220.060879052,216633890.50118303,80000.0,-866800.0,190000.0,-64800.0,0.0,0.0,420000.0,-639000.0,330000.0,-971300.0,300000.0,-137700.0,0.0,0.0,0,0,330000.0,-249200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,-144100.0,180000.0,-1490100.0,710000.0,-232500.0,0.0,0.0,80000.0,-703500.0,0,0,0.0,0.0,0.019997240716127962
2019-07-03,11426220.060879052,221391559.44875705,80000.0,-866800.0,190000.0,-64800.0,0.0,0.0,420000.0,-639000.0,330000.0,-971300.0,300000.0,-137700.0,0.0,0.0,0,0,330000.0,-249200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,-144100.0,180000.0,-1490100.0,710000.0,-232500.0,0.0,0.0,80000.0,-703500.0,0,0,0.0,0.0,0.021961794327596484
2019-07-04,11426220.060879052,231409472.45528305,80000.0,-866800.0,190000.0,-64800.0,0.0,0.0,420000.0,-639000.0,330000.0,-971300.0,300000.0,-137700.0,0.0,0.0,0,0,330000.0,-249200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,-144100.0,180000.0,-1490100.0,710000.0,-232500.0,0.0,0.0,80000.0,-703500.0,0,0,0.0,0.0,0.045249751307003816
2019-07-05,11426220.060879052,228871176.284744,80000.0,-866800.0,190000.0,-64800.0,0.0,0.0,420000.0,-639000.0,330000.0,-971300.0,300000.0,-137700.0,0.0,0.0,0,0,330000.0,-249200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,-144100.0,180000.0,-1490100.0,710000.0,-232500.0,0.0,0.0,80000.0,-703500.0,0,0,0.0,0.0,-0.01096885163605199
2019-07-08,32298803.110491216,136249284.16221523,0.0,0.0,190000.0,-64800.0,0.0,0.0,420000.0,-639000.0,330000.0,-971300.0,300000.0,-137700.0,0.0,0.0,0,0,330000.0,-249200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,-144100.0,180000.0,-1490100.0,710000.0,-232500.0,0.0,0.0,80000.0,-703500.0,0,0,0.0,0.0,-0.4046900689988838
2019-07-09,32298803.110491216,135457670.28908023,0.0,0.0,190000.0,-64800.0,0.0,0.0,420000.0,-639000.0,330000.0,-971300.0,300000.0,-137700.0,0.0,0.0,0,0,330000.0,-249200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,-144100.0,180000.0,-1490100.0,710000.0,-232500.0,0.0,0.0,80000.0,-703500.0,0,0,0.0,0.0,-0.005810040603167699
2019-07-10,32298803.110491216,134504911.0147332,0.0,0.0,190000.0,-64800.0,0.0,0.0,420000.0,-639000.0,330000.0,-971300.0,300000.0,-137700.0,0.0,0.0,0,0,330000.0,-249200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,-144100.0,180000.0,-1490100.0,710000.0,-232500.0,0.0,0.0,80000.0,-703500.0,0,0,0.0,0.0,-0.0070336310399681246
2019-07-11,32877088.773856632,288677526.2785956,80000.0,-866800.0,190000.0,-64800.0,0.0,0.0,420000.0,-639000.0,330000.0,-971300.0,300000.0,-137700.0,0.0,0.0,0,0,330000.0,-249200.0,240000.0,-891300.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,-144100.0,180000.0,-1490100.0,710000.0,-232500.0,0.0,0.0,80000.0,-703500.0,0,0,0.0,0.0,1.1462229453240922
2019-07-12,33214459.38170687,232922624.77163693,80000.0,-866800.0,190000.0,-64800.0,0.0,0.0,420000.0,-639000.0,330000.0,-971300.0,300000.0,-137700.0,0.0,0.0,0,0,330000.0,-249200.0,240000.0,-891300.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,-144100.0,180000.0,-1490100.0,710000.0,-232500.0,80000.0,-123200.0,80000.0,-703500.0,0,0,0.0,0.0,-0.19313904419823458
