date,cash,value,002961.SZ_volume_1,603093.SH_volume_2,002957.SZ_volume_1_x,688028.SH_volume_2_x,688030.SH_volume_1,688168.SH_volume_2_x,688022.SH_volume_1,688028.SH_volume_2_y,002017.SZ_volume_1,600776.SH_volume_2,600288.SH_volume_1,600602.SH_volume_2_x,601288.SH_volume_1,601398.SH_volume_2,002628.SZ_volume_1,600528.SH_volume_2,002234.SZ_volume_1_x,300761.SZ_volume_2,002234.SZ_volume_1_y,002746.SZ_volume_2,603328.SH_volume_1,603421.SH_volume_2,002474.SZ_volume_1_x,600797.SH_volume_2,000563.SZ_volume_1,600643.SH_volume_2,600446.SH_volume_1,603383.SH_volume_2,002957.SZ_volume_1_y,688022.SH_volume_2,600088.SH_volume_1,603000.SH_volume_2,002657.SZ_volume_1,600446.SH_volume_2,688066.SH_volume_1,688168.SH_volume_2_y,002474.SZ_volume_1_y,600602.SH_volume_2_y,002436.SZ_volume_1,603005.SH_volume_2,rev
2021-01-04,9921139.826742085,-28795739.67675391,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,450000.0,-777300.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,240000.0,-42800.0,0,0,0.0,0.0,80000.0,-124900.0,-15.397869838376954
2021-01-05,9921139.826742085,-24868157.948427945,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,450000.0,-777300.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,240000.0,-42800.0,0,0,0.0,0.0,80000.0,-124900.0,-0.13639454212376434
2021-01-06,9921139.826742085,-29562137.791879892,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,450000.0,-777300.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,240000.0,-42800.0,0,0,0.0,0.0,80000.0,-124900.0,0.18875462562150402
2021-01-07,9921139.826742085,-25956414.993081942,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,450000.0,-777300.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,240000.0,-42800.0,0,0,0.0,0.0,80000.0,-124900.0,-0.12197097598903583
2021-01-08,9921139.826742085,-27411763.16186993,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,450000.0,-777300.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,240000.0,-42800.0,0,0,0.0,0.0,80000.0,-124900.0,0.05606892050292278
2021-01-11,10313208.121145494,-33167233.393952504,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,450000.0,-777300.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,0.0,0.0,80000.0,-124900.0,0.2099635181471471
2021-01-12,50357956.878437646,-6395371.542286351,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,0.0,0.0,80000.0,-124900.0,-0.8071780221665266
2021-01-13,50357956.878437646,5975182.973722622,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,0.0,0.0,80000.0,-124900.0,-1.9342980207192917
2021-01-14,50561656.818013586,-62184946.45653744,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,0.0,0.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,0.0,0.0,80000.0,-124900.0,-11.407203717444549
2021-01-15,50561656.818013586,-68260946.15340838,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,0.0,0.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,0.0,0.0,80000.0,-124900.0,0.097708529846811
2021-01-18,50561656.818013586,-64587501.33241139,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,0.0,0.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,0.0,0.0,80000.0,-124900.0,-0.05381473636098377
2021-01-19,50561656.818013586,-80326953.83470044,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,0.0,0.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,0.0,0.0,80000.0,-124900.0,0.2436919245611171
2021-01-20,50561656.818013586,-74023260.00587943,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,0.0,0.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,0.0,0.0,80000.0,-124900.0,-0.07847544974496312
2021-01-21,50561656.818013586,-75306088.63834341,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,0.0,0.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,0.0,0.0,80000.0,-124900.0,0.017330074794896788
2021-01-22,50561656.818013586,-69932872.1955074,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,0.0,0.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,0.0,0.0,80000.0,-124900.0,-0.07135168669615555
2021-01-25,50937591.254669264,-60962917.38960774,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,490000.0,-846300.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,0.0,0.0,80000.0,-124900.0,-0.12826521382995493
2021-01-26,51030877.70648998,-5291433923.953044,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,490000.0,-846300.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,300000.0,-3600.0,80000.0,-124900.0,85.79758368740842
