date,cash,value,600410.SH_volume_1,600797.SH_volume_2_x,603918.SH_volume_1,600797.SH_volume_2_y,603559.SH_volume_1,600797.SH_volume_2_x,300182.SZ_volume_1,600797.SH_volume_2_y,300597.SZ_volume_1,600797.SH_volume_2,600395.SH_volume_1,600508.SH_volume_2,rev
2020-01-02,14579059.597204797,-318905585.0845752,0,0,330000.0,-79900.0,360000.0,-106000.0,80000.0,-122100.0,820000.0,-100100.0,0,0,-160.4527925422876
2020-01-03,14579059.597204797,-323188851.19989526,0,0,330000.0,-79900.0,360000.0,-106000.0,80000.0,-122100.0,820000.0,-100100.0,0,0,0.013431141741164998
2020-01-06,14579059.597204797,-306194983.7315952,0,0,330000.0,-79900.0,360000.0,-106000.0,80000.0,-122100.0,820000.0,-100100.0,0,0,-0.05258184929711318
2020-01-07,14579059.597204797,-296313489.1846552,0,0,330000.0,-79900.0,360000.0,-106000.0,80000.0,-122100.0,820000.0,-100100.0,0,0,-0.03227190212757358
2020-01-08,14579059.597204797,-247837588.94259518,0,0,330000.0,-79900.0,360000.0,-106000.0,80000.0,-122100.0,820000.0,-100100.0,0,0,-0.16359667045684523
2020-01-09,14579059.597204797,-275212509.8808551,0,0,330000.0,-79900.0,360000.0,-106000.0,80000.0,-122100.0,820000.0,-100100.0,0,0,0.11045508090623235
2020-01-10,14579059.597204797,-275725417.1437552,0,0,330000.0,-79900.0,360000.0,-106000.0,80000.0,-122100.0,820000.0,-100100.0,0,0,0.0018636771385216466
2020-01-13,14579059.597204797,-281914513.5329751,0,0,330000.0,-79900.0,360000.0,-106000.0,80000.0,-122100.0,820000.0,-100100.0,0,0,0.022446593619597444
2020-01-14,14579059.597204797,-238454775.79759526,0,0,330000.0,-79900.0,360000.0,-106000.0,80000.0,-122100.0,820000.0,-100100.0,0,0,-0.15415927754388703
2020-01-15,14579059.597204797,-268343856.2718351,0,0,330000.0,-79900.0,360000.0,-106000.0,80000.0,-122100.0,820000.0,-100100.0,0,0,0.12534485993943867
2020-01-16,14579059.597204797,-242779889.88785517,0,0,330000.0,-79900.0,360000.0,-106000.0,80000.0,-122100.0,820000.0,-100100.0,0,0,-0.09526570400808188
2020-01-17,14579059.597204797,-230010284.13817522,0,0,330000.0,-79900.0,360000.0,-106000.0,80000.0,-122100.0,820000.0,-100100.0,0,0,-0.05259746083408512
2020-01-20,64219067.120884895,-36864870.643395096,0,0,0.0,0.0,360000.0,-106000.0,80000.0,-122100.0,820000.0,-100100.0,0,0,-0.8397251201983252
2020-01-21,64219067.120884895,-12975778.138195068,0,0,0.0,0.0,360000.0,-106000.0,80000.0,-122100.0,820000.0,-100100.0,0,0,-0.6480178036235731
2020-01-22,64219067.120884895,20074444.988044947,0,0,0.0,0.0,360000.0,-106000.0,80000.0,-122100.0,820000.0,-100100.0,0,0,-2.547070609118576
2020-01-23,64219067.120884895,11378909.424764857,0,0,0.0,0.0,360000.0,-106000.0,80000.0,-122100.0,820000.0,-100100.0,0,0,-0.43316443211548783
2020-02-03,64219067.120884895,27905412.937244877,0,0,0.0,0.0,360000.0,-106000.0,80000.0,-122100.0,820000.0,-100100.0,0,0,1.4523802673489983
2020-02-04,64219067.120884895,80368780.08016486,0,0,0.0,0.0,360000.0,-106000.0,80000.0,-122100.0,820000.0,-100100.0,0,0,1.880042673473505
