date,cash,value,rev
2020-01-02,14579059.597204797,-318905585.0845752,-160.4527925422876
2020-01-03,14579059.597204797,-323188851.19989526,0.013431141741164998
2020-01-06,14579059.597204797,-306194983.7315952,-0.05258184929711318
2020-01-07,14579059.597204797,-296313489.1846552,-0.03227190212757358
2020-01-08,14579059.597204797,-247837588.94259518,-0.16359667045684523
2020-01-09,14579059.597204797,-275212509.8808551,0.11045508090623235
2020-01-10,14579059.597204797,-275725417.1437552,0.0018636771385216466
2020-01-13,14579059.597204797,-281914513.5329751,0.022446593619597444
2020-01-14,14579059.597204797,-238454775.79759526,-0.15415927754388703
2020-01-15,14579059.597204797,-268343856.2718351,0.12534485993943867
2020-01-16,14579059.597204797,-242779889.88785517,-0.09526570400808188
2020-01-17,14579059.597204797,-230010284.13817522,-0.05259746083408512
2020-01-20,64219067.120884895,-36864870.643395096,-0.8397251201983252
2020-01-21,64219067.120884895,-12975778.138195068,-0.6480178036235731
2020-01-22,64219067.120884895,20074444.988044947,-2.547070609118576
2020-01-23,64219067.120884895,11378909.424764857,-0.43316443211548783
2020-02-03,64219067.120884895,27905412.937244877,1.4523802673489983
2020-02-04,64219067.120884895,80368780.08016486,1.880042673473505
2020-02-05,220983907.4478054,-27824612.586134613,-1.3462117075608289
2020-02-06,220983907.4478054,-36625867.21671456,0.31631184812850677
2020-02-07,220983907.4478054,-51130455.277674615,0.3960203310719357
2020-02-10,220983907.4478054,-51442644.26277456,0.006105734506069549
2020-02-11,220983907.4478054,-51053241.15517455,-0.0075696557434118406
2020-02-12,220983907.4478054,-58403921.53285462,0.14398067999909991
2020-02-13,220983907.4478054,-56591628.38197462,-0.03103033329466587
2020-02-14,220983907.4478054,-56260558.04685457,-0.005850164495805554
2020-02-17,220983907.4478054,-63006029.658854574,0.1198969908258336
2020-02-18,220983907.4478054,-69381888.46055454,0.10119442275956736
2020-02-19,220983907.4478054,-64973986.97885454,-0.06353101046256493
2020-02-20,221765300.54471922,73126480.7704592,-2.1254731958230892
2020-02-21,221765300.54471922,67447646.7877393,-0.07765769558288338
2020-02-24,221765300.54471922,57068624.84253931,-0.15388263993647144
2020-02-25,221765300.54471922,53246453.066639185,-0.06697501098801761
2020-02-26,221765300.54471922,61487443.07995924,0.15477068496949964
2020-02-27,221765300.54471922,54368675.05103916,-0.11577596452763084
2020-02-28,221765300.54471922,70336856.69679923,0.29370187209399123
2020-03-02,221765300.54471922,53749732.40159918,-0.23582407679521544
2020-03-03,221765300.54471922,49128673.37615919,-0.08597361919707913
2020-03-04,221765300.54471922,20588538.818819255,-0.5809262208002076
